Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M47,5.97159090909091,4,0.201279950772749,1,KO.Shank3.Cortex-WT.Cortex,0.1002261685366,-0.164138157272402,0.364590494345602,0.767867645901915,FALSE,0.819070334119371
M47,5.97159090909091,4,0.201279950772749,1,HET.Syngap1.Cortex-WT.Cortex,-0.140238291461863,-0.404602617270866,0.124126034347139,0.501303793299422,FALSE,0.819070334119371
M47,5.97159090909091,4,0.201279950772749,1,KO.Ube3a.Cortex-WT.Cortex,0.0640782880412751,-0.200286037767727,0.328442613850277,0.940901528978983,FALSE,0.819070334119371
M48,10.1228693181818,4,0.0384080523558621,1,KO.Shank2.Cortex-WT.Cortex,-0.0087176615565772,-0.25837713744473,0.240941814331576,0.999964892132648,FALSE,0.785955233149435
M48,10.1228693181818,4,0.0384080523558621,1,KO.Shank3.Cortex-WT.Cortex,0.130197757580374,-0.119461718307779,0.379857233468527,0.516969426293479,FALSE,0.785955233149435
M48,10.1228693181818,4,0.0384080523558621,1,HET.Syngap1.Cortex-WT.Cortex,-0.188651243882467,-0.438310719770619,0.0610082320056861,0.191684318330019,FALSE,0.785955233149435
M48,10.1228693181818,4,0.0384080523558621,1,KO.Ube3a.Cortex-WT.Cortex,-0.0963339213124435,-0.345993397200596,0.153325554575709,0.756815906956604,FALSE,0.785955233149435
M49,9.64559659090909,4,0.0468400186315509,1,KO.Shank2.Cortex-WT.Cortex,-0.0981507788499967,-0.341562298229971,0.145260740529978,0.727529790433948,FALSE,0.804927251216466
M49,9.64559659090909,4,0.0468400186315509,1,KO.Shank3.Cortex-WT.Cortex,0.153593791729919,-0.0898177276500554,0.397005311109893,0.340245890184927,FALSE,0.804927251216466
M49,9.64559659090909,4,0.0468400186315509,1,HET.Syngap1.Cortex-WT.Cortex,-0.119526452649863,-0.362937972029837,0.123885066730112,0.571163472427763,FALSE,0.804927251216466
M49,9.64559659090909,4,0.0468400186315509,1,KO.Ube3a.Cortex-WT.Cortex,-0.16441661789595,-0.407828137275924,0.0789949014840241,0.280229207115294,FALSE,0.804927251216466
M50,5.85014204545455,4,0.210622767635633,1,KO.Shank2.Cortex-WT.Cortex,-0.128676312341394,-0.395994251469827,0.138641626787039,0.588589378869903,FALSE,0.814749583148879
M50,5.85014204545455,4,0.210622767635633,1,KO.Shank3.Cortex-WT.Cortex,0.0995460477835241,-0.167771891344909,0.366863986911957,0.778772767184233,FALSE,0.814749583148879
M50,5.85014204545455,4,0.210622767635633,1,HET.Syngap1.Cortex-WT.Cortex,-0.0717890565043762,-0.339106995632809,0.195528882624057,0.916937806380601,FALSE,0.814749583148879
M50,5.85014204545455,4,0.210622767635633,1,KO.Ube3a.Cortex-WT.Cortex,0.00558034423810705,-0.261737594890326,0.27289828336654,0.999995497195669,FALSE,0.814749583148879
M51,3.55965909090909,4,0.468865217664518,1,KO.Shank2.Cortex-WT.Cortex,-0.0936146939176509,-0.365196439423776,0.177967051588474,0.821573824829068,FALSE,0.786488380677418
M51,3.55965909090909,4,0.468865217664518,1,KO.Shank3.Cortex-WT.Cortex,0.0711194887501439,-0.200462256755981,0.342701234256269,0.923499056065476,FALSE,0.786488380677418
